Protein FDR Confidence Combined	Master	Accession	Description	% Coverage	# Peptides	# PSMs	# Unique Peptides	MW in kDa	Gene Symbol	Abundance 1161573	Abundance 1161574	Abundance 1161575	Abundance 1161576	Abundance 1161577	Abundance 1161578																																		
High	Master Protein	Q9BYV8	Centrosomal protein of 41 kDa OS=Homo sapiens OX=9606 GN=CEP41 PE=1 SV=1	14	3	5	3	41.3	CEP41	3.62E+05	5.63E+05	4.20E+05	1.09E+05	1.01E+05	1.69E+05																																		
High	Master Protein	Q5T0D9	Tumor protein p63-regulated gene 1-like protein OS=Homo sapiens OX=9606 GN=TPRG1L PE=1 SV=1	10	2	5	2	30.2	TPRG1L	1.13E+06	1.13E+06	1.71E+06	1.47E+06	1.83E+06	2.64E+06																																		
High	Master Protein	Q9UBX7	Kallikrein-11 OS=Homo sapiens OX=9606 GN=KLK11 PE=1 SV=2	7	2	5	2	31	KLK11				2.90E+05	5.68E+05	4.46E+05																																		
High	Master Protein	Q8IWR1	Tripartite motif-containing protein 59 OS=Homo sapiens OX=9606 GN=TRIM59 PE=1 SV=1	7	2	5	2	47.1	TRIM59	2.72E+06	3.00E+05	3.09E+06	1.54E+06	2.71E+06	2.80E+06																																		
High	Master Protein	Q9NVX2	Notchless protein homolog 1 OS=Homo sapiens OX=9606 GN=NLE1 PE=1 SV=4	10	2	5	2	53.3	NLE1	6.53E+05	5.13E+05		4.11E+05		5.81E+05																																		
High	Master Protein	Q53GS7	mRNA export factor GLE1 OS=Homo sapiens OX=9606 GN=GLE1 PE=1 SV=2	4	2	5	2	79.8	GLE1	1.49E+06	1.24E+06	1.74E+06	1.67E+06	1.07E+06	1.52E+06																																		
High	Master Protein	Q8WVR3	Trafficking protein particle complex subunit 14 OS=Homo sapiens OX=9606 GN=TRAPPC14 PE=1 SV=2	4	2	5	2	62.6	TRAPPC14	4.17E+05		3.70E+05	6.96E+05	5.62E+05	4.65E+05																																		
High	Master Protein	P84101	Small EDRK-rich factor 2 OS=Homo sapiens OX=9606 GN=SERF2 PE=1 SV=1	31	2	5	2	6.9	SERF2	6.37E+06	6.63E+06	6.06E+06	7.59E+06	7.54E+06	7.58E+06																																		
High	Master Protein	Q96N11	Uncharacterized protein C7orf26 OS=Homo sapiens OX=9606 GN=C7orf26 PE=2 SV=1	8	2	5	2	50	INTS15	9.04E+05		3.75E+05	6.42E+05	2.49E+05																																			
High	Master Protein	Q15390	Mitochondrial fission regulator 1 OS=Homo sapiens OX=9606 GN=MTFR1 PE=1 SV=2	8	2	5	2	37	MTFR1		2.40E+05	1.26E+06		1.15E+06	9.91E+05																																		
High	Master Protein	O60613	Selenoprotein F OS=Homo sapiens OX=9606 GN=SELENOF PE=1 SV=4	18	2	5	2	18.1	SELENOF	4.81E+05	7.68E+05	1.17E+06	6.79E+05	1.12E+06	1.82E+06																																		
High	Master Protein	Q9NVN8	Guanine nucleotide-binding protein-like 3-like protein OS=Homo sapiens OX=9606 GN=GNL3L PE=1 SV=1	7	3	5	2	65.5	GNL3L	5.53E+05	3.14E+05	4.51E+05	3.04E+05	9.10E+05	3.61E+05																																		
High	Master Protein	Q6IN84	"rRNA methyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=MRM1 PE=1 SV=1"	10	2	5	2	38.6	MRM1	6.14E+05	6.05E+05		5.67E+05	4.05E+05	8.79E+05																																		
High	Master Protein	Q96F63	Coiled-coil domain-containing protein 97 OS=Homo sapiens OX=9606 GN=CCDC97 PE=1 SV=1	19	3	5	3	38.9	CCDC97	1.52E+06	8.76E+05	1.74E+06	1.42E+06	1.04E+06	1.73E+06																																		
High	Master Protein	P48509	CD151 antigen OS=Homo sapiens OX=9606 GN=CD151 PE=1 SV=3	7	2	5	2	28.3	CD151	5.33E+06	4.65E+06	4.64E+06		6.66E+06	4.65E+06																																		
High	Master Protein	P23229	Integrin alpha-6 OS=Homo sapiens OX=9606 GN=ITGA6 PE=1 SV=5	3	3	5	3	126.5	ITGA6	1.56E+06	8.51E+05	1.21E+06	4.19E+05	9.41E+05	6.08E+05																																		
High	Master Protein	P11137	Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4	2	3	5	3	199.4	MAP2	8.90E+05	1.02E+06	7.38E+05	1.57E+06	1.38E+06	2.19E+06																																		
High	Master Protein	O43826	Glucose-6-phosphate exchanger SLC37A4 OS=Homo sapiens OX=9606 GN=SLC37A4 PE=1 SV=1	13	3	5	3	46.3	SLC37A4	1.06E+06	8.60E+05	7.96E+05	5.68E+05	8.10E+05	8.74E+05																																		
High	Master Protein	P30988	Calcitonin receptor OS=Homo sapiens OX=9606 GN=CALCR PE=1 SV=3	8	2	5	2	55.3	CALCR		1.42E+05	2.44E+05	1.24E+06	5.51E+05	1.41E+06																																		
High	Master Protein	Q8N4Q0	Prostaglandin reductase 3 OS=Homo sapiens OX=9606 GN=ZADH2 PE=1 SV=1	10	2	5	2	40.1	PTGR3			1.99E+07	2.19E+05		1.92E+05																																		
High	Master Protein	Q7Z5G4	Golgin subfamily A member 7 OS=Homo sapiens OX=9606 GN=GOLGA7 PE=1 SV=2	17	2	5	2	15.8	GOLGA7	1.39E+06	1.14E+06	2.18E+06	1.47E+06	1.01E+06	1.91E+06																																		
High	Master Protein	Q6ZT21	Transmembrane protein with metallophosphoesterase domain OS=Homo sapiens OX=9606 GN=TMPPE PE=1 SV=2	8	2	5	2	49.4	TMPPE	7.57E+05	6.59E+05	1.92E+06	1.87E+06	6.31E+05	2.51E+05																																		
High	Master Protein	Q86TB9	Protein PAT1 homolog 1 OS=Homo sapiens OX=9606 GN=PATL1 PE=1 SV=2	6	3	5	3	86.8	PATL1	1.37E+06	1.42E+06	1.08E+06	1.04E+06	1.06E+06	1.10E+06																																		
High	Master Protein	P35219	Carbonic anhydrase-related protein OS=Homo sapiens OX=9606 GN=CA8 PE=1 SV=3	16	3	5	3	33	CA8	1.49E+06	1.89E+06	1.65E+06		8.73E+05																																			
High	Master Protein	P51946	Cyclin-H OS=Homo sapiens OX=9606 GN=CCNH PE=1 SV=1	8	2	5	2	37.6	CCNH	8.26E+05				6.58E+05																																			
High	Master Protein	Q13627	Dual specificity tyrosine-phosphorylation-regulated kinase 1A OS=Homo sapiens OX=9606 GN=DYRK1A PE=1 SV=2	4	2	5	2	85.5	DYRK1A	7.52E+05	6.45E+05	6.22E+05	4.68E+05	6.11E+05	3.51E+05																																		
High	Master Protein	Q15293	Reticulocalbin-1 OS=Homo sapiens OX=9606 GN=RCN1 PE=1 SV=1	11	3	5	3	38.9	RCN1	5.70E+05	3.64E+05	4.42E+05	8.92E+05	1.11E+06	1.55E+06																																		
High	Master Protein	P51636	Caveolin-2 OS=Homo sapiens OX=9606 GN=CAV2 PE=1 SV=2	27	2	5	2	18.3	CAV2	7.68E+05	1.18E+06	9.62E+05	3.14E+06	3.71E+06	4.54E+06																																		
High	Master Protein	O60671	Cell cycle checkpoint protein RAD1 OS=Homo sapiens OX=9606 GN=RAD1 PE=1 SV=1	12	2	5	2	31.8	RAD1	8.79E+05	5.16E+05	9.35E+05	9.31E+05	1.50E+06	1.19E+06																																		
High	Master Protein	Q9BRB3	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q OS=Homo sapiens OX=9606 GN=PIGQ PE=1 SV=3	7	3	5	3	84	PIGQ	7.02E+05		1.80E+06	8.37E+05	1.97E+06	1.92E+06																																		
High	Master Protein	Q04721	Neurogenic locus notch homolog protein 2 OS=Homo sapiens OX=9606 GN=NOTCH2 PE=1 SV=3	1	2	5	1	265.2	NOTCH2	7.29E+05	4.25E+05	2.32E+05	7.59E+05	2.05E+05	5.11E+05																																		
High	Master Protein	Q6PIJ6	F-box only protein 38 OS=Homo sapiens OX=9606 GN=FBXO38 PE=1 SV=3	3	2	4	2	133.9	FBXO38	5.89E+05		3.82E+06	7.07E+05	2.45E+05	3.25E+05																																		
High	Master Protein	Q07889	Son of sevenless homolog 1 OS=Homo sapiens OX=9606 GN=SOS1 PE=1 SV=1	2	2	4	2	152.4	SOS1	1.21E+06		2.00E+05	8.95E+05		9.00E+05																																		
High	Master Protein	Q96IW7	Vesicle-trafficking protein SEC22a OS=Homo sapiens OX=9606 GN=SEC22A PE=1 SV=1	6	2	4	2	34.9	SEC22A	2.35E+06	1.27E+06	9.81E+05	1.19E+06	1.72E+06	9.40E+05																																		
High	Master Protein	Q8N2G8	GH3 domain-containing protein OS=Homo sapiens OX=9606 GN=GHDC PE=1 SV=2	4	2	4	2	57.5	GHDC	2.43E+06	1.80E+06	1.90E+06	1.00E+06	9.95E+05	6.59E+05																																		
High	Master Protein	Q99717	Mothers against decapentaplegic homolog 5 OS=Homo sapiens OX=9606 GN=SMAD5 PE=1 SV=1	13	4	4	3	52.2	SMAD5	4.04E+05	1.05E+06	3.44E+05	8.22E+04	3.22E+05	1.19E+06																																		
High	Master Protein	Q14331	Protein FRG1 OS=Homo sapiens OX=9606 GN=FRG1 PE=1 SV=1	11	2	4	2	29.2	FRG1	6.32E+05	3.69E+05	1.01E+06	5.95E+05	7.57E+05	7.65E+05																																		
High	Master Protein	O60503	Adenylate cyclase type 9 OS=Homo sapiens OX=9606 GN=ADCY9 PE=1 SV=4	5	3	4	3	150.6	ADCY9		4.01E+05	8.79E+05	4.93E+05	6.53E+05	1.36E+06																																		
High	Master Protein	O43278	Kunitz-type protease inhibitor 1 OS=Homo sapiens OX=9606 GN=SPINT1 PE=1 SV=2	8	4	4	4	58.4	SPINT1	3.77E+06	3.43E+06	2.75E+06	1.91E+06	2.04E+06	2.38E+06																																		
High	Master Protein	O15427	Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1	5	2	4	2	49.4	SLC16A3	2.14E+06	1.45E+06	3.04E+06	1.61E+06		1.19E+06																																		
High	Master Protein	Q9NVH6	"Trimethyllysine dioxygenase, mitochondrial OS=Homo sapiens OX=9606 GN=TMLHE PE=1 SV=1"	7	2	4	2	49.5	TMLHE	8.92E+05	1.23E+06	2.26E+06	6.17E+05	1.26E+06	1.69E+06																																		
High	Master Protein	Q9BXJ8	Ion channel TACAN OS=Homo sapiens OX=9606 GN=TMEM120A PE=1 SV=1	9	2	4	2	40.6	TMEM120A	5.20E+05		6.16E+05	5.75E+05		3.15E+05																																		
High	Master Protein	Q8NE62	"Choline dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=CHDH PE=1 SV=2"	6	2	4	2	65.3	CHDH	1.66E+06	7.46E+05	8.83E+05	1.29E+06	1.42E+06	1.09E+06																																		
High	Master Protein	P25815	Protein S100-P OS=Homo sapiens OX=9606 GN=S100P PE=1 SV=2	24	2	4	2	10.4	S100P	2.41E+05	2.82E+05	1.97E+05	7.05E+05	1.04E+06	8.75E+05																																		
High	Master Protein	Q15375	Ephrin type-A receptor 7 OS=Homo sapiens OX=9606 GN=EPHA7 PE=1 SV=3	4	3	4	1	112	EPHA7	4.39E+05		3.34E+05	2.36E+05	4.33E+05	1.68E+05																																		
High	Master Protein	Q86V48	Leucine zipper protein 1 OS=Homo sapiens OX=9606 GN=LUZP1 PE=1 SV=2	2	2	4	2	120.2	LUZP1	5.66E+05	5.76E+05	4.73E+05	5.20E+05	3.92E+05	4.82E+05																																		
High	Master Protein	O43299	AP-5 complex subunit zeta-1 OS=Homo sapiens OX=9606 GN=AP5Z1 PE=1 SV=2	4	3	4	3	88.5	AP5Z1	1.16E+06	7.90E+05	1.06E+06	1.12E+06	5.65E+05	7.31E+05																																		
High	Master Protein	Q15223	Nectin-1 OS=Homo sapiens OX=9606 GN=NECTIN1 PE=1 SV=3	6	2	4	2	57.1	NECTIN1				3.77E+05	4.27E+05	4.49E+05																																		
High	Master Protein	Q05932	"Folylpolyglutamate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=FPGS PE=1 SV=3"	5	2	4	2	64.6	FPGS	1.14E+06	1.89E+05	1.39E+06	3.90E+05	1.51E+06	5.36E+05																																		
High	Master Protein	Q5VYS8	Terminal uridylyltransferase 7 OS=Homo sapiens OX=9606 GN=TUT7 PE=1 SV=1	2	2	4	2	171.1	TUT7	1.57E+06	8.28E+05	1.72E+06	2.88E+05	8.44E+05	7.02E+05																																		
High	Master Protein	P43405	Tyrosine-protein kinase SYK OS=Homo sapiens OX=9606 GN=SYK PE=1 SV=1	7	3	4	3	72	SYK	5.98E+05	7.05E+05	6.24E+05	5.07E+05	5.58E+05	5.53E+05																																		
High	Master Protein	P18433	Receptor-type tyrosine-protein phosphatase alpha OS=Homo sapiens OX=9606 GN=PTPRA PE=1 SV=3	4	2	4	2	90.7	PTPRA	8.77E+05	7.93E+05	8.72E+05	9.61E+05	1.33E+06	1.49E+06																																		
High	Master Protein	Q9UKT5	F-box only protein 4 OS=Homo sapiens OX=9606 GN=FBXO4 PE=1 SV=2	6	2	4	2	44.1	FBXO4	4.43E+05	5.72E+05	6.29E+05	2.84E+05	2.65E+05	4.56E+05																																		
High	Master Protein	Q9Y6J9	TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L OS=Homo sapiens OX=9606 GN=TAF6L PE=1 SV=1	9	3	4	3	67.8	TAF6L	8.32E+05	7.26E+04	9.40E+05	3.50E+05	5.63E+05	5.72E+05																																		
High	Master Protein	O60427	Acyl-CoA (8-3)-desaturase OS=Homo sapiens OX=9606 GN=FADS1 PE=1 SV=3	7	2	4	2	51.9	FADS1	1.32E+06	1.18E+06	1.29E+06	4.94E+05	6.96E+05	4.39E+05																																		
High	Master Protein	Q9P031	Thyroid transcription factor 1-associated protein 26 OS=Homo sapiens OX=9606 GN=CCDC59 PE=1 SV=2	8	2	4	2	28.7	CCDC59	9.03E+05	9.37E+05	9.76E+05	3.27E+05	2.98E+05	2.12E+05																																		
High	Master Protein	Q9UKU7	"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD8 PE=1 SV=1"	6	2	4	2	45	ACAD8	4.28E+05	2.74E+05	5.12E+05	6.54E+05	6.39E+05	5.49E+05																																		
High	Master Protein	O43318	Mitogen-activated protein kinase kinase kinase 7 OS=Homo sapiens OX=9606 GN=MAP3K7 PE=1 SV=1	4	2	4	2	67.2	MAP3K7	6.45E+05	3.74E+05	5.70E+05	1.51E+06	1.08E+06	7.75E+05																																		
High	Master Protein	P05090	Apolipoprotein D OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1	19	3	4	3	21.3	APOD	9.19E+05		6.45E+05	1.32E+06	1.64E+06	1.66E+06																																		
High	Master Protein	Q8IYB9	Zinc finger protein 595 OS=Homo sapiens OX=9606 GN=ZNF595 PE=1 SV=2	8	2	4	1	74.3	ZNF595	1.33E+05	2.28E+05	2.73E+05	4.69E+05	1.73E+05	1.36E+05																																		
High	Master Protein	Q86YM7	Homer protein homolog 1 OS=Homo sapiens OX=9606 GN=HOMER1 PE=1 SV=2	6	2	4	1	40.3	HOMER1		4.94E+05	1.48E+06	3.53E+05																																				
High	Master Protein	Q8N5C7	tRNA-uridine aminocarboxypropyltransferase 1 OS=Homo sapiens OX=9606 GN=DTWD1 PE=1 SV=1	9	2	4	2	35.2	DTWD1	1.22E+06	1.44E+06	9.49E+05	1.03E+06	8.43E+05	3.07E+05																																		
High	Master Protein	P29558	"RNA-binding motif, single-stranded-interacting protein 1 OS=Homo sapiens OX=9606 GN=RBMS1 PE=1 SV=3"	13	2	4	2	44.5	RBMS1	8.80E+05	9.25E+05	5.48E+05	8.36E+05	1.08E+06	9.22E+05																																		
High	Master Protein	O00418	Eukaryotic elongation factor 2 kinase OS=Homo sapiens OX=9606 GN=EEF2K PE=1 SV=2	5	3	4	3	82.1	EEF2K	2.01E+06	6.83E+05	3.93E+06	1.85E+06	1.63E+06	1.50E+06																																		
High	Master Protein	P54098	DNA polymerase subunit gamma-1 OS=Homo sapiens OX=9606 GN=POLG PE=1 SV=1	4	3	4	3	139.5	POLG	8.40E+05	6.00E+05	2.10E+06	1.17E+06	1.48E+06	2.29E+06																																		
High	Master Protein	P10588	Nuclear receptor subfamily 2 group F member 6 OS=Homo sapiens OX=9606 GN=NR2F6 PE=1 SV=2	6	2	4	1	43	NR2F6	5.79E+05	2.61E+05	6.75E+05	5.00E+05	1.33E+05	4.46E+05																																		
High	Master Protein	O95140	Mitofusin-2 OS=Homo sapiens OX=9606 GN=MFN2 PE=1 SV=3	7	3	4	3	86.3	MFN2	9.13E+05	5.47E+05	5.15E+05	6.58E+05	2.87E+05	5.12E+05																																		
High	Master Protein	Q5VWG9	Transcription initiation factor TFIID subunit 3 OS=Homo sapiens OX=9606 GN=TAF3 PE=1 SV=1	3	2	4	2	103.5	TAF3	9.69E+05	6.43E+05	1.25E+06	2.72E+05	1.48E+06	7.20E+05																																		
High	Master Protein	Q9BT67	NEDD4 family-interacting protein 1 OS=Homo sapiens OX=9606 GN=NDFIP1 PE=1 SV=1	24	2	4	2	24.9	NDFIP1	9.81E+05	9.82E+05	1.04E+06	1.50E+06	1.44E+06	1.32E+06																																		
High	Master Protein	A6NDB9	Paralemmin-3 OS=Homo sapiens OX=9606 GN=PALM3 PE=1 SV=2	5	2	4	2	71.7	PALM3	5.64E+05	1.28E+05	8.67E+05	2.51E+05	1.38E+05	2.79E+05																																		
High	Master Protein	Q643R3	Lysophospholipid acyltransferase LPCAT4 OS=Homo sapiens OX=9606 GN=LPCAT4 PE=1 SV=1	7	3	4	3	57.2	LPCAT4	1.19E+06	6.00E+05	9.27E+05	7.99E+05	5.52E+05	9.73E+05																																		
High	Master Protein	Q9BV79	"Enoyl-[acyl-carrier-protein] reductase, mitochondrial OS=Homo sapiens OX=9606 GN=MECR PE=1 SV=2"	7	2	4	2	40.4	MECR		6.43E+05	6.60E+05	7.97E+05	4.41E+05	7.33E+05																																		
High	Master Protein	Q9NUQ2	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Homo sapiens OX=9606 GN=AGPAT5 PE=1 SV=3	8	2	4	2	42	AGPAT5	1.10E+06	9.56E+05	1.43E+06	1.15E+06	7.99E+05																																			
High	Master Protein	Q13472	DNA topoisomerase 3-alpha OS=Homo sapiens OX=9606 GN=TOP3A PE=1 SV=1	3	2	4	2	112.3	TOP3A	2.58E+06	1.15E+06	1.83E+06	8.84E+05	1.19E+06	6.89E+05																																		
High	Master Protein	Q9NQY0	Bridging integrator 3 OS=Homo sapiens OX=9606 GN=BIN3 PE=1 SV=1	13	2	4	2	29.6	BIN3	8.87E+05	2.11E+05	1.09E+06	1.46E+06	1.09E+06	1.76E+06																																		
High	Master Protein	Q04864	Proto-oncogene c-Rel OS=Homo sapiens OX=9606 GN=REL PE=1 SV=1	8	4	4	4	68.5	REL	8.47E+05	1.02E+06	7.03E+05			1.67E+05																																		
High	Master Protein	O15213	WD repeat-containing protein 46 OS=Homo sapiens OX=9606 GN=WDR46 PE=1 SV=3	15	3	4	3	68	WDR46	2.01E+05		2.94E+05																																					
High	Master Protein	Q9Y4X0	AMME syndrome candidate gene 1 protein OS=Homo sapiens OX=9606 GN=AMMECR1 PE=1 SV=1	8	2	4	2	35.4	AMMECR1	1.67E+06	9.11E+05	1.59E+06	9.65E+05		8.38E+05																																		
High	Master Protein	Q9BY50	Signal peptidase complex catalytic subunit SEC11C OS=Homo sapiens OX=9606 GN=SEC11C PE=1 SV=3	10	2	4	2	21.5	SEC11C	3.23E+05	2.28E+05	2.31E+04	4.82E+05	6.43E+05	8.25E+04																																		
High	Master Protein	Q96LD4	E3 ubiquitin-protein ligase TRIM47 OS=Homo sapiens OX=9606 GN=TRIM47 PE=1 SV=2	5	2	4	2	69.5	TRIM47				6.31E+04	1.34E+05	1.23E+05																																		
High	Master Protein	Q96BY7	Autophagy-related protein 2 homolog B OS=Homo sapiens OX=9606 GN=ATG2B PE=1 SV=5	2	3	4	3	232.6	ATG2B	4.14E+05	7.25E+05	3.88E+05	5.55E+05	4.38E+05	5.46E+05																																		
High	Master Protein	P21579	Synaptotagmin-1 OS=Homo sapiens OX=9606 GN=SYT1 PE=1 SV=1	9	3	4	3	47.5	SYT1	1.50E+06	1.89E+06	2.03E+06	5.22E+05	5.29E+05	8.26E+05																																		
High	Master Protein	Q567V2	Mpv17-like protein 2 OS=Homo sapiens OX=9606 GN=MPV17L2 PE=1 SV=2	14	2	4	2	23.2	MPV17L2	3.41E+06	1.81E+06	3.86E+06	8.95E+05	1.89E+06	2.22E+06																																		
High	Master Protein	P50548	ETS domain-containing transcription factor ERF OS=Homo sapiens OX=9606 GN=ERF PE=1 SV=2	8	2	4	2	58.7	ERF	8.49E+05	6.13E+05	6.66E+05	1.11E+06	7.40E+05	1.07E+06																																		
High	Master Protein	Q8IVF2	Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2	5	2	4	2	616.2	AHNAK2	1.25E+05		2.22E+05	1.54E+06	1.25E+06	1.42E+06																																		
High	Master Protein	Q9H8G2	Caspase activity and apoptosis inhibitor 1 OS=Homo sapiens OX=9606 GN=CAAP1 PE=1 SV=2	10	2	4	2	38.3	CAAP1	4.21E+05	3.08E+05		2.45E+05																																				
High	Master Protein	Q9Y5W7	Sorting nexin-14 OS=Homo sapiens OX=9606 GN=SNX14 PE=1 SV=3	3	2	4	2	110.1	SNX14	1.06E+06	9.16E+04	1.63E+06	1.02E+06	7.81E+05	7.89E+05																																		
High	Master Protein	Q96MU7	YTH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=YTHDC1 PE=1 SV=3	6	3	4	3	84.6	YTHDC1	2.37E+05	2.96E+05	1.15E+05	2.20E+05	1.16E+05	1.29E+05																																		
High	Master Protein	Q8TDM6	Disks large homolog 5 OS=Homo sapiens OX=9606 GN=DLG5 PE=1 SV=4	2	2	4	2	213.7	DLG5	5.15E+06	4.92E+06	4.99E+06	4.64E+06	2.85E+06	2.56E+06																																		
High	Master Protein	O75794	Cell division cycle protein 123 homolog OS=Homo sapiens OX=9606 GN=CDC123 PE=1 SV=1	6	2	4	2	39.1	CDC123	1.18E+06	4.79E+05	1.22E+06	5.23E+05	3.73E+05	4.71E+05																																		
High	Master Protein	Q9P0W2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related OS=Homo sapiens OX=9606 GN=HMG20B PE=1 SV=1	11	2	4	2	35.8	HMG20B	3.35E+05	2.50E+05	3.31E+05	3.60E+05	6.49E+05	3.95E+05																																		
High	Master Protein	Q8WV41	Sorting nexin-33 OS=Homo sapiens OX=9606 GN=SNX33 PE=1 SV=1	5	2	4	2	65.2	SNX33	5.41E+05	2.33E+05	7.12E+05	8.83E+05	8.12E+05	7.82E+05																																		
High	Master Protein	Q8TEU7	Rap guanine nucleotide exchange factor 6 OS=Homo sapiens OX=9606 GN=RAPGEF6 PE=1 SV=2	3	3	4	3	179.3	RAPGEF6	1.27E+06	3.53E+05	1.36E+06	1.33E+06	7.29E+05	1.03E+06																																		
High	Master Protein	Q16864	V-type proton ATPase subunit F OS=Homo sapiens OX=9606 GN=ATP6V1F PE=1 SV=2	17	2	4	2	13.4	ATP6V1F	1.53E+06	9.91E+05	1.45E+06	8.54E+05	1.31E+06	1.54E+06																																		
High	Master Protein	Q9Y6H1	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CHCHD2 PE=1 SV=1	15	2	4	2	15.5	CHCHD2	7.00E+05	2.78E+05	4.88E+05	1.75E+05	2.98E+05	3.12E+05																																		
High	Master Protein	Q15527	Surfeit locus protein 2 OS=Homo sapiens OX=9606 GN=SURF2 PE=1 SV=4	11	2	4	2	29.6	SURF2	1.91E+06	2.03E+06	1.47E+06	1.44E+06	1.42E+06	1.14E+06																																		
High	Master Protein	P54259	Atrophin-1 OS=Homo sapiens OX=9606 GN=ATN1 PE=1 SV=3	3	2	4	2	125.3	ATN1	5.61E+05	3.32E+05	1.10E+06	1.66E+05	1.44E+05	5.39E+05																																		
High	Master Protein	Q96FX8	p53 apoptosis effector related to PMP-22 OS=Homo sapiens OX=9606 GN=PERP PE=1 SV=1	20	2	4	2	21.4	PERP	3.55E+06		2.02E+06	3.77E+06	4.13E+06	3.82E+06																																		
High	Master Protein	Q99959	Plakophilin-2 OS=Homo sapiens OX=9606 GN=PKP2 PE=1 SV=2	5	3	4	3	97.4	PKP2	1.29E+05	1.54E+05	1.57E+05																																					
High	Master Protein	O94817	Ubiquitin-like protein ATG12 OS=Homo sapiens OX=9606 GN=ATG12 PE=1 SV=1	14	2	4	2	15.1	ATG12	8.09E+05	9.64E+05	1.53E+06	1.60E+06	1.55E+06	1.40E+06																																		
High	Master Protein	P17097	Zinc finger protein 7 OS=Homo sapiens OX=9606 GN=ZNF7 PE=1 SV=1	4	2	4	1	77.8	ZNF7	2.59E+05	2.62E+05	2.17E+05	1.24E+05	1.10E+05	1.85E+05																																		
High	Master Protein	Q9Y291	"28S ribosomal protein S33, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS33 PE=1 SV=1"	22	2	4	2	12.6	MRPS33	9.86E+05	8.98E+05	8.71E+05	5.03E+05	5.19E+05	6.36E+05																																		
High	Master Protein	Q9UK99	F-box only protein 3 OS=Homo sapiens OX=9606 GN=FBXO3 PE=1 SV=3	8	2	4	2	54.5	FBXO3	1.43E+06	3.20E+05	2.27E+06	1.05E+06	5.75E+05	1.75E+06																																		
High	Master Protein	Q9NXC5	GATOR complex protein MIOS OS=Homo sapiens OX=9606 GN=MIOS PE=1 SV=2	4	2	4	2	98.5	MIOS	9.34E+05	8.64E+05	1.61E+06	1.30E+06	1.19E+06	1.59E+06																																		
High	Master Protein	Q9BTV6	Diphthine methyltransferase OS=Homo sapiens OX=9606 GN=DPH7 PE=1 SV=2	8	2	4	2	50.5	DPH7	1.16E+06	1.08E+06	1.01E+06	3.30E+05	2.40E+05	5.00E+05																																		
High	Master Protein	P52747	Zinc finger protein 143 OS=Homo sapiens OX=9606 GN=ZNF143 PE=1 SV=2	5	2	4	2	68.9	ZNF143	1.46E+06	1.65E+06	1.34E+06	8.79E+05	9.49E+05	1.22E+06																																		
High	Master Protein	Q14667	Protein KIAA0100 OS=Homo sapiens OX=9606 GN=KIAA0100 PE=1 SV=3	2	2	4	2	253.5	BLTP2	1.90E+06	1.67E+06	1.85E+06	1.78E+06	1.26E+06	1.66E+06																																		
High	Master Protein	Q8NEC7	Glutathione S-transferase C-terminal domain-containing protein OS=Homo sapiens OX=9606 GN=GSTCD PE=1 SV=2	6	3	4	3	71	GSTCD	1.28E+06	1.04E+06	1.55E+06	7.90E+05	5.29E+05	1.47E+06																																		
High	Master Protein	O14681	Etoposide-induced protein 2.4 homolog OS=Homo sapiens OX=9606 GN=EI24 PE=1 SV=4	6	2	4	2	38.9	EI24	4.38E+05	4.85E+05	4.92E+05	4.69E+05	5.89E+05	4.38E+05																																		
High	Master Protein	Q6PID8	Kelch domain-containing protein 10 OS=Homo sapiens OX=9606 GN=KLHDC10 PE=1 SV=1	8	2	4	2	49.1	KLHDC10	3.74E+05	3.13E+05	6.04E+05	2.86E+05	2.39E+05																																			
High	Master Protein	P04035	3-hydroxy-3-methylglutaryl-coenzyme A reductase OS=Homo sapiens OX=9606 GN=HMGCR PE=1 SV=1	3	2	4	2	97.4	HMGCR	1.12E+06	1.09E+06	2.08E+06	3.19E+06	1.40E+06	1.90E+06																																		
High	Master Protein	Q9Y3D3	"28S ribosomal protein S16, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS16 PE=1 SV=1"	19	2	4	2	15.3	MRPS16	6.86E+06	7.72E+06	6.00E+06	5.45E+06	5.51E+06	6.08E+06																																		
